CustomerID,Churn Probability
7590-VHVEG,0.6891862400851507
5575-GNVDE,0.05629180491565281
7795-CFOCW,0.038125085807442824
1452-KIOVK,0.2194469360299572
6713-OKOMC,0.3030095547638117
6388-TABGU,0.017600006254308836
9763-GRSKD,0.09830838161402386
7469-LKBCI,0.02857503301127475
8091-TTVAX,0.18674512079479988
5129-JLPIS,0.455321004896602
3655-SNQYZ,0.03927427693053331
8191-XWSZG,0.014571870656571425
9959-WOFKT,0.044156774565306194
4183-MYFRB,0.5823624484521643
1680-VDCWW,0.09849891310722413
3638-WEABW,0.024082510701461064
6322-HRPFA,0.010900904208178073
6865-JZNKO,0.14846302299509714
5248-YGIJN,0.019243772028786608
3841-NFECX,0.03314929371674479
4929-XIHVW,0.7617784529161292
6827-IEAUQ,0.06687468426622395
7310-EGVHZ,0.20977694989109869
3413-BMNZE,0.39406445725459205
6234-RAAPL,0.029574067026879657
6572-ADKRS,0.24522807122090098
8865-TNMNX,0.2009594714189407
9489-DEDVP,0.01999146916019159
9867-JCZSP,0.08386676066108897
4671-VJLCL,0.016128032907117684
4080-IIARD,0.4326678169619612
3714-NTNFO,0.4193151204041278
5948-UJZLF,0.3389688355268138
7639-LIAYI,0.02943006767945385
2954-PIBKO,0.012295476952928106
8012-SOUDQ,0.5055271480629643
6575-SUVOI,0.2712821264538606
4667-QONEA,0.03540841546563429
8769-KKTPH,0.1650671375013816
5067-XJQFU,0.24053983872054566
3957-SQXML,0.023980303332950335
5954-BDFSG,0.061841751013249485
0434-CSFON,0.598500374288161
1215-FIGMP,0.27328382526431944
0526-SXDJP,0.009933209814058805
0557-ASKVU,0.16483589808308158
5122-CYFXA,0.523624218875661
8627-ZYGSZ,0.27865586031764045
3410-YOQBQ,0.04979806382587258
3170-NMYVV,0.009649014778653762
7410-OIEDU,0.47259456641045156
2273-QCKXA,0.2936529308197606
0731-EBJQB,0.0367662099490517
1891-QRQSA,0.08322495794283466
8028-PNXHQ,0.011241467034332752
5630-AHZIL,0.10197886179593824
2673-CXQEU,0.18931407977017572
6416-JNVRK,0.05511015813530779
5590-ZSKRV,0.0810154996101906
0191-ZHSKZ,0.2889948031942104
3887-PBQAO,0.045384125602891554
8108-UXRQN,0.21246068341837862
9919-YLNNG,0.3299405266898668
0318-ZOPWS,0.01483003924630361
4445-ZJNMU,0.6866921240602104
4808-YNLEU,0.12472612613096885
1862-QRWPE,0.010825269969941523
2796-NNUFI,0.016788500694670135
3016-KSVCP,0.3089659173264671
4767-HZZHQ,0.11435663646525358
2424-WVHPL,0.5611206534101043
7233-PAHHL,0.028488418170858662
6067-NGCEU,0.22122403266744345
9848-JQJTX,0.0798787408545339
9803-FTJCG,0.021875539823029783
3212-KXOCR,0.0068418626153384345
6380-ARCEH,0.20821508015066315
3679-XASPY,0.10255420612160156
7123-WQUHX,0.19063936453500221
5386-THSLQ,0.056950448283776045
6180-YBIQI,0.43272996543523534
6728-DKUCO,0.17584263031265837
9750-BOOHV,0.08160664973209335
8597-CWYHH,0.2362585257482699
2848-YXSMW,0.0030407251552871718
4549-ZDQYY,0.0189495460813293
5712-AHQNN,0.41803425701452923
5256-SKJGO,0.046490756148655187
3071-VBYPO,0.2665180686070733
9560-BBZXK,0.03485625226645964
8402-OOOHJ,0.011318900835148749
9445-ZUEQE,0.1426362647013474
1091-SOZGA,0.27154366368351746
2928-HLDBA,0.17895842753529329
6497-TILVL,0.09032729557250335
7219-TLZHO,0.06824646566642999
4622-YNKIJ,0.10936105685604358
6734-PSBAW,0.00731774334581335
3930-ZGWVE,0.2079896400620321
2639-UGMAZ,0.06019093016149766
2876-GZYZC,0.7278292860393956
8587-XYZSF,0.007334796482417722
7799-LGRDP,0.018833911368823057
7850-VWJUU,0.3591958437036439
3774-VBNXY,0.005192505470138104
6217-KDYWC,0.007849966133149422
3146-MSEGF,0.021954718673409965
1095-WGNGG,0.13211649278258997
2636-SJDOU,0.06979089738768898
1131-QQZEB,0.005823255851584801
5716-EZXZN,0.04534307890055584
6837-BJYDQ,0.11287994558302152
6440-DKQGE,0.09708734921891557
3466-BYAVD,0.11137107292482146
3780-YVMFA,0.23321941390443865
1679-JRFBR,0.1456886815155774
9073-ZZIAY,0.02034903426205429
3077-RSNTJ,0.0626828672759772
6551-GNYDG,0.2965565371289759
9167-APMXZ,0.598727568444169
2749-CTKAJ,0.06499563351202015
6371-NZYEG,0.08472630474214207
7554-NEWDD,0.05745412843912691
8992-VONJD,0.10226514689990908
4482-EWFMI,0.7035675754450107
4648-YPBTM,0.0342370384827961
2907-ILJBN,0.10589794106778891
6345-FZOQH,0.004002305189654682
5997-OPVFA,0.021632824937310436
1159-WFSGR,0.055417515202530854
7654-YWJUF,0.11945381379821342
6727-IOTLZ,0.10705935395024026
5918-VUKWP,0.03533157179812982
1744-JHKYS,0.13079545675748566
5947-SGKCL,0.40790117947938953
3712-PKXZA,0.015539982796813517
6582-OIVSP,0.3772190551205939
5524-KHNJP,0.10130158689622168
4827-USJHP,0.26964055173468765
8167-GJLRN,0.4500149573179786
0956-SYCWG,0.10312674456170061
8017-UVSZU,0.15889453055589692
7100-FQPRV,0.07939211330256903
2984-RGEYA,0.004190286708236027
9680-NIAUV,0.0491676230086575
2146-EGVDT,0.0054931083984396285
2604-IJPDU,0.48428559427652534
9178-JHUVJ,0.014533465572763166
6168-YBYNP,0.3543152412517603
7255-SSFBC,0.020772828804557324
3645-DEYGF,0.05962319336546195
9323-HGFWY,0.24977619335853193
8544-GOQSH,0.3947559121795897
3363-DTIVD,0.01888258980888024
7018-WBJNK,0.23112822289508023
9142-KZXOP,0.17241567461884238
7674-YTAFD,0.16972367503318816
6348-SNFUS,0.012727439967474198
1347-KTTTA,0.1223133785141308
4195-NZGTA,0.5643825784070893
7157-SMCFK,0.0010669194895743099
4709-LKHYG,0.06694021480704239
2504-DSHIH,0.6345926611173498
